Date,Show,Position Type,Start Time,End Time,Notes,Gross Pay,Net Pay,Hours,Min Pay Type
2026-01-19,"Dreamland","Rigging LX",07:00,09:30,"",551,436,2.5,
2026-01-21,"Memories of a Killer","Rigging LX",07:30,13:50,"",454,375,6.333333333333333,
2026-01-28,"Boston Blue","Rigging LX",07:00,11:40,"",,,4.666666666666667,
2026-01-29,"Boston Blue","Rigging LX",07:00,12:00,"",668.32,518.44,5,
2026-02-02,"Snowflakes","Rigging LX",06:30,08:30,"",319.88,279.28,2,8hr
2026-02-03,"Dreamland","Rigging LX",07:00,10:30,"",593.36,464.7,3.5,12hr
2026-02-04,"Sheriff Country","Rigging LX",08:30,11:00,"",,,2.5,12hr
2026-02-05,"Sheriff Country","Rigging LX",07:30,13:10,"",1141.56,832.5,5.666666666666667,12hr
2026-02-09,"Dreamland","Rigging LX",07:00,10:47,"20 minute drive",433.97,362.33,3.783333333333333,10hr
2026-02-10,"Sheriff Country","Rigging LX",08:00,12:40,"1 hr drive uxbridge",,,4.666666666666667,12hr
2026-02-11,"Sheriff Country","Rigging LX",08:00,09:05,"40 min drive",1143.56,833.79,1.0833333333333333,12hr
